force,tier,origin,type,n_signals,members,member_ids,lead_months,raw_r,partial_r_ctrl_market,beta_signal,survival,leads,smoothing_pass,holds_pass,is_comover,verdict,status,n,episode_pass,lead_class
Industrial Capacity: Manufacturing: Durable,TIGHT,primary,single signal,1,Industrial Capacity: Manufacturing: Durable,CAPHITEK2S,20,-0.2301,-0.2301,,partly survives,yes,no,yes,no,REJECTED,scored,681,,true lead
Import Price Index (End Use): Other Precious,TIGHT,primary,single signal,1,Import Price Index,IR14280,11,0.3375,0.2201,,partly survives,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,407,,true lead
Global lead price,TIGHT,primary,single signal,1,Global lead price,PLEADUSDM,6,0.351,0.2178,,partly survives,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,395,,true lead
Current General Activity; Percent Reporting,TIGHT,primary,single signal,1,Current General Activity; Percent Reporting,GACINA156MNFRBPHI,-17,0.2096,0.2067,,partly survives,no,no,no,no,REJECTED,scored,668,,lags
Chemicals and Allied Products: Paint Materia,TIGHT,primary,single signal,1,Chemicals and Allied Products: Paint Materia,WPU0622,0,0.5414,0.2064,,partly survives,no,yes,no,yes,CO-MOVER (not a lead),scored,701,,co-mover
Current General Activity; Percent Reporting,TIGHT,primary,single signal,1,Current General Activity; Percent Reporting,GACISA156MSFRBPHI,-16,0.1993,0.2004,,partly survives,no,yes,no,no,REJECTED,scored,669,,lags
Manufacturers' Unfilled Orders: Industrial M,TIGHT,primary,single signal,1,Manufacturers' Unfilled Orders: Industrial M,A33EUO,-4,0.3631,0.1859,,cycle-driven,no,yes,yes,no,REVERSED,scored,397,,lags
"Manufacturers' Unfilled Orders: Mining, Oil,",TIGHT,primary,single signal,1,"Manufacturers' Unfilled Orders: Mining, Oil,",A33DUO,2,0.3147,0.1835,,not cycle-driven (weak on its own),yes,yes,yes,yes,CO-MOVER (not a lead),scored,399,,co-mover
Current General Activity; Percent Reporting,TIGHT,primary,single signal,1,Current General Activity; Percent Reporting,GACNNA156MNFRBPHI,7,0.2039,0.1812,,not cycle-driven (weak on its own),yes,yes,yes,no,REJECTED,scored,678,,true lead
Capacity Utilization: Manufacturing: Durable,TIGHT,primary,single signal,1,Capacity Utilization: Manufacturing: Durable,CAPUTLHITEK2S,11,0.323,0.1775,,not cycle-driven (weak on its own),yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,690,,true lead
Metals and Metal Products: Vitreous China Pl,TIGHT,primary,single signal,1,Metals and Metal Products: Vitreous China Pl,WPU1052,0,0.3883,0.1753,,cycle-driven,no,yes,no,yes,CO-MOVER (not a lead),scored,549,,co-mover
New Privately-Owned Housing Units Started: U,TIGHT,primary,single signal,1,New Privately-Owned Housing Units Started: U,HOUST2F,3,-0.228,-0.1743,,not cycle-driven (weak on its own),yes,no,no,yes,REJECTED,scored,698,,co-mover
5-Year Breakeven Inflation Rate,TIGHT,primary,single signal,1,5-Year Breakeven Inflation Rate,T5YIE,6,0.4681,0.1728,,cycle-driven,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,263,,true lead
"Import Price Index (End Use): Furniture, Hou",TIGHT,primary,single signal,1,Import Price Index,IR41000,0,0.4221,0.165,,cycle-driven,no,yes,yes,yes,CO-MOVER (not a lead),scored,432,,co-mover
Manufacturers' Unfilled Orders: Construction,TIGHT,primary,single signal,1,Manufacturers' Unfilled Orders: Construction,A33CUO,2,0.5323,0.1627,,cycle-driven,yes,yes,yes,yes,CO-MOVER (not a lead),scored,399,,co-mover
Steel wire PPI,TIGHT,primary,single signal,1,Steel wire PPI,WPU101705,2,0.4846,0.1558,,cycle-driven,yes,yes,yes,yes,CO-MOVER (not a lead),scored,502,,co-mover
Orders/demand complex,TIGHT,primary,cluster composite,2,"Manufacturers' Unfilled Orders: Iron and Ste, Manufacturers' Unfilled Orders: Primary Meta",A31AUO;A31SUO,3,0.5761,0.1551,2.0742,cycle-driven,yes,yes,yes,no,STRONG BUT CYCLE-DRIVEN,scored,398,yes,true lead
Import Price Index (End Use): Paper and Pape,TIGHT,primary,single signal,1,Import Price Index,IR11,-1,0.4089,0.139,,cycle-driven,no,yes,yes,yes,CO-MOVER (not a lead),scored,439,,co-mover
Capacity Utilization: Utilities: Natural Gas,TIGHT,primary,single signal,1,Capacity Utilization: Utilities: Natural Gas,CAPUTLG2212S,22,-0.1262,-0.1385,,not cycle-driven (weak on its own),yes,no,no,no,REJECTED,scored,679,,true lead
Producer Price Index by Industry: Couriers a,TIGHT,primary,single signal,1,Producer Price Index by Industry: Couriers a,PCU4921104921102,0,0.6198,0.1376,,cycle-driven,no,yes,yes,yes,CO-MOVER (not a lead),scored,450,,co-mover
New Orders: Nondefense Capital Goods,TIGHT,primary,single signal,1,New Orders: Nondefense Capital Goods,ANDENO,7,0.3657,0.1255,,cycle-driven,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,393,,true lead
Energy & import prices complex,TIGHT,primary,cluster composite,12,"WTI crude oil, Refined petroleum products PPI, Import: Industrial Supplies & Materials, Brent Crude, WTI Crude, Fuels and Related Products and Power: Crude, Fuels and Related Products and Power: Natura, Import Price Index, Import Price Index, Import Price Index, Global price of Energy index, Global Price Index of All Commodities",WTISPLC;WPU057;IR1;POILBREUSDM;POILWTIUSDM;WPU056;WPU0532;IR10000;IR100;IR;PNRGINDEXM;PALLFNFINDEXM,3,0.5857,-0.1231,4.3045,cycle-driven,yes,yes,yes,no,STRONG BUT CYCLE-DRIVEN,scored,391,yes,true lead
Import Price Index (End Use): Meat Products,TIGHT,primary,single signal,1,Import Price Index,IR00100,2,0.3036,-0.1184,,cycle-driven,yes,yes,yes,yes,CO-MOVER (not a lead),scored,428,,co-mover
Producer Price Index by Industry: Pipeline T,TIGHT,primary,single signal,1,Producer Price Index by Industry: Pipeline T,PCU486110486110311,21,0.1158,0.1161,,not cycle-driven (weak on its own),yes,no,no,no,REJECTED,scored,447,,true lead
